pays,region,lat,lon,ndvi,ndwi,temp_surface,albedo,soil_texture,slope,altitude,distance_water,distance_road,surface,fertility,value_per_ha,opportunity_score,culture_recommandee
espagne,nord,39.68402700463545,-3.295351991176987,0.39347306104980545,0.24008822062937601,41.03261508840867,0.35568502080888065,0.41433282217446343,0.07418906406772804,555.9396956066449,0.4081729573649446,4.062526092567123,31.993145543134506,58.43216688460343,32529.650065381025,60.40284005187744,pomme_de_terre
france,centre,45.73301204012962,1.9486219953590647,0.4524470457877255,-0.2530195414259928,35.79176156993384,0.2251815363653633,0.8596834771225399,4.883107284547787,550.030893094138,6.0818829065798985,8.508062884598601,28.632262570415563,32.932253752757745,29026.28881346521,40.829878950652684,pomme_de_terre
france,nord,46.41780679646407,-2.628168674555855,0.6636512821199525,-0.044193235232463435,15.88314458708912,0.11600117510353836,0.3797824485489767,6.630033293560146,314.5567717435152,10.605196574281614,11.447738251205823,21.644005364223926,55.1075134332122,47298.38104494548,56.97017076421263,ble
espagne,nord,42.76096187691563,2.751212236961825,0.7676465724423687,0.6382325875215455,44.54260565727478,0.3523437818577593,0.06669094088483474,0.193530778931011,80.5222678996981,13.688915048246555,5.356721769120375,7.08943400735602,57.268479455631734,32180.54383668952,58.70187052841861,olivier
espagne,nord,36.06306147051113,1.1342215400550888,0.4146528824593912,-0.15835806139337405,20.37652756494309,0.3223222994864922,0.39336277434435984,1.229807708597528,666.7357044562912,6.30747141510191,3.178680744001348,44.46604955867501,48.87962714112275,29663.888142336826,55.53577646285632,pomme_de_terre
tunisie,sud,33.569934306227225,9.390438362331334,0.9444041313071982,0.18588867421058664,31.85584501782756,0.23142251258096266,0.22403784450124387,2.7584245953684916,754.0927142653343,13.095182534466199,4.258939975622897,23.7041747819625,68.38607849834447,7103.164709900668,68.01493947925775,pomme_de_terre
tunisie,nord,33.43921806437362,9.300445227425193,0.7105082825485196,0.32026201358248746,30.80557384948327,0.25335390961482723,0.1246526029968209,1.1454054114215697,617.8194334473694,6.643335106199478,2.7009018404506646,4.877521993215617,70.09841675225144,9607.873340180115,71.33146792944342,tomate
tunisie,centre,34.79582237590003,10.525241875441889,0.6031557008071151,0.12591626195555283,37.674024495676946,0.18037490652706428,0.9309507271935046,4.170300708514426,701.8852755490759,8.088522105038738,3.1233541341248885,26.89601844606505,44.85515738415188,11382.618886098226,64.13152092996982,pomme_de_terre
france,nord,44.18200403645713,-3.102899198770962,-0.07826130631200456,0.43539008617505,26.287058903278158,0.2673852974081513,0.1397096736976552,5.437707364903812,334.8425899226691,3.0073690125221013,0.685204952109657,49.506806441507344,46.104357745041725,43246.96098526878,60.40237267481693,pomme_de_terre
italie,nord,39.177709776937,7.148815915211861,-0.16059571120849309,0.3391513708395005,41.42891658881577,0.39577196821994975,0.903445428488359,16.68001945751135,555.252084051157,9.891844325712256,7.997730233908858,23.223261990964062,17.279982586537592,26911.993034615036,31.1400319546148,pomme_de_terre
